filename,face_area_frac,occluder_area_frac,hair_area_frac,background_frac,convex_hull_area_frac,occluder_in_hull_frac,hair_in_hull_frac,bg_in_hull_frac,ratio_simple,ratio_hull,ratio_hull_strict,gt,gender
database3/database3/m.01lpf1m/92-FaceId-0_align.webp,0.3125,0.0,0.6555325255102041,0.03196747448979592,0.34281329719387754,0.0,0.08080925527585606,0.007615836288587873,0.0,0.08842509156444393,0.0,0.071695,1.0
database3/database3/m.02c_wc/17-FaceId-0_align.webp,0.5956034757653061,0.0,0.30921157525510207,0.0519172512755102,0.6302216198979592,0.0,0.045316551767756626,0.003605085067358168,0.0,0.05493011194737841,0.0,0.031062,0.0
database3/database3/m.0194tb/20-FaceId-0_align.webp,0.26315369897959184,0.15581154336734693,0.5681401466836735,0.001634247448979592,0.2924306441326531,0.04375383357186669,0.04743406256389286,0.0,0.37189610883835983,0.10011585906086008,0.04375383357186669,0.266914,0.0
database3/database3/m.013w4h/76-FaceId-0_align.webp,0.6428172831632653,0.0,0.07443797831632654,0.2560188137755102,0.6784518494897959,0.0,0.024411021679102286,0.02041595675929734,0.0,0.05252335350449445,0.0,0.004316,1.0
database3/database3/m.01r5wc/89-FaceId-0_align.webp,0.5353754783163265,0.0,0.4389748086734694,0.004185267857142857,0.5633569834183674,0.0,0.03919765097109704,0.0,0.0,0.04966922559875473,0.0,0.13725,0.0
database3/database3/m.026828/30-FaceId-0_align.webp,0.3952088647959184,0.005879304846938775,0.3665098852040816,0.2266422193877551,0.42396763392857145,0.0,0.06111032764537207,0.004136699102148263,0.014658385093167702,0.06783246368636299,0.0,0.270883,0.0
database3/database3/m.01wdwjx/74-FaceId-1_align.webp,0.4871452487244898,0.1524234693877551,0.0,0.3604312818877551,0.5218231823979592,0.017148531489898027,0.0,0.04930680212351526,0.2383222710417251,0.06645533361341328,0.017148531489898027,0.114525,1.0
database3/database3/m.01804k/67-FaceId-0_align.webp,0.6462252869897959,0.0030293367346938774,0.07447783801020408,0.2352917729591837,0.6769571109693877,0.0026201901845909264,0.0229929048782642,0.013807519062619601,0.004665868557571293,0.04539700297347425,0.0026201901845909264,0.053185,0.0
database3/database3/m.024zbx/80-FaceId-0_align.webp,0.5259287308673469,0.019551179846938774,0.15196508290816327,0.29396524234693877,0.5556839923469388,0.0029768309303493294,0.035901298328670825,0.011082418764794492,0.03584216295213738,0.05354709131339215,0.0029768309303493294,0.021349,1.0
database3/database3/m.0188nj/51-FaceId-0_align.webp,0.6134606186224489,0.020547672193877552,0.17243303571428573,0.16848692602040816,0.6515266262755102,0.0,0.036829708482456945,0.015355908353981217,0.032409153778448385,0.058425866446422565,0.0,0.022468,1.0
database3/database3/m.027ft_4/16-FaceId-0_align.webp,0.5232581313775511,0.0,0.12503985969387754,0.35170200892857145,0.5427495216836735,0.0,0.01619358866081592,0.019718723607388095,0.0,0.035912312268204016,0.0,0.032805,0.0
database3/database3/m.01vk8x5/19-FaceId-0_align.webp,0.37617586096938777,0.0,0.5845224808673469,0.03930165816326531,0.4034000318877551,0.0,0.06150881873425226,0.00597796551553777,0.0,0.06748678424979003,0.0,0.240278,1.0
database3/database3/m.026z6n_/20-FaceId-0_align.webp,0.534797512755102,0.0,0.12707270408163265,0.30955038265306123,0.5644132653061225,0.0,0.027436440677966103,0.017902542372881355,0.0,0.05247175141242938,0.0,0.008027,1.0
database3/database3/m.027h2gb/109-FaceId-0_align.webp,0.5290377869897959,0.0,0.34241470025510207,0.12854751275510204,0.5626793686224489,0.0,0.05791095526511529,0.0018772358587468565,0.0,0.05978819112386215,0.0,0.056992,0.0
database3/database3/m.01zgqq/63-FaceId-0_align.webp,0.5903818558673469,0.008589764030612245,0.09149792729591837,0.283203125,0.6193997130102041,0.0,0.0255799736156247,0.014414878213584736,0.014340853131030812,0.04684835419415039,0.0,0.012033,1.0
database3/database3/m.01tvrs/70-FaceId-0_align.webp,0.6083984375,0.01881377551020408,0.10367506377551021,0.2691127232142857,0.6460658482142857,0.0,0.027578122589999074,0.030724619798254003,0.029995869212926185,0.05830274238825308,0.0,0.005419,1.0
